lat,lon,year,month,day,wind_speed,altitude_m
27.5,77.5,2021,10,14,22.997622,10364.27
27.5,77.5,2021,10,14,24.325218,11776.37
27.5,77.5,2021,10,14,22.627775,13510.6
27.5,77.5,2021,10,14,16.357815,15799.14
27.5,77.5,2021,10,14,3.6573565,17671.37
27.5,77.5,2021,10,14,3.822466,19324.79
27.5,77.5,2021,10,14,3.391994,21641.08
27.5,77.5,2021,10,14,0.8609588,23325.88
27.5,77.5,2021,10,14,2.8811889,25921.43
27.5,77.5,2021,10,15,1.7492858,110.9
27.5,77.5,2021,10,15,2.5294526,762.08
27.5,77.5,2021,10,15,1.7117239,1457.51
27.5,77.5,2021,10,15,4.3892627,3012.62
27.5,77.5,2021,10,15,4.518435,4207.02
27.5,77.5,2021,10,15,6.9895015,5575.21
27.5,77.5,2021,10,15,11.977922,7186.41
27.5,77.5,2021,10,15,18.45349,9165.16
27.5,77.5,2021,10,15,23.24059,10364.27
27.5,77.5,2021,10,15,24.474592,11776.37
27.5,77.5,2021,10,15,22.854431,13510.6
27.5,77.5,2021,10,15,16.581806,15799.14
27.5,77.5,2021,10,15,3.0349019,17671.37
27.5,77.5,2021,10,15,3.9850492,19324.79
27.5,77.5,2021,10,15,4.0262423,21641.08
27.5,77.5,2021,10,15,2.2860992,23325.88
27.5,77.5,2021,10,15,0.916856,25921.43
27.5,77.5,2021,10,16,1.5781692,110.9
27.5,77.5,2021,10,16,1.7553488,762.08
27.5,77.5,2021,10,16,2.8040147,1457.51
27.5,77.5,2021,10,16,7.412573,3012.62
27.5,77.5,2021,10,16,7.835895,4207.02
27.5,77.5,2021,10,16,10.036341,5575.21
27.5,77.5,2021,10,16,14.009395,7186.41
27.5,77.5,2021,10,16,17.006067,9165.16
27.5,77.5,2021,10,16,19.304226,10364.27
27.5,77.5,2021,10,16,19.551535,11776.37
27.5,77.5,2021,10,16,18.62797,13510.6
27.5,77.5,2021,10,16,14.504869,15799.14
27.5,77.5,2021,10,16,3.9882643,17671.37
27.5,77.5,2021,10,16,1.7804483,19324.79
27.5,77.5,2021,10,16,0.90588343,21641.08
27.5,77.5,2021,10,16,4.8839664,23325.88
27.5,77.5,2021,10,16,10.095079,25921.43
27.5,77.5,2021,10,17,2.9026916,110.9
27.5,77.5,2021,10,17,4.286752,762.08
27.5,77.5,2021,10,17,3.9262736,1457.51
27.5,77.5,2021,10,17,6.056092,3012.62
27.5,77.5,2021,10,17,9.12541,4207.02
27.5,77.5,2021,10,17,12.936697,5575.21
27.5,77.5,2021,10,17,15.07784,7186.41
27.5,77.5,2021,10,17,18.635483,9165.16
27.5,77.5,2021,10,17,20.642387,10364.27
27.5,77.5,2021,10,17,20.006624,11776.37
27.5,77.5,2021,10,17,20.64493,13510.6
27.5,77.5,2021,10,17,14.637154,15799.14
27.5,77.5,2021,10,17,4.2518387,17671.37
27.5,77.5,2021,10,17,2.7064734,19324.79
27.5,77.5,2021,10,17,2.6730132,21641.08
27.5,77.5,2021,10,17,7.510076,23325.88
27.5,77.5,2021,10,17,13.966477,25921.43
27.5,77.5,2021,10,18,1.3315862,110.9
27.5,77.5,2021,10,18,1.5560359,762.08
27.5,77.5,2021,10,18,1.3308814,1457.51
27.5,77.5,2021,10,18,2.039608,3012.62
27.5,77.5,2021,10,18,6.3965325,4207.02
27.5,77.5,2021,10,18,11.595393,5575.21
27.5,77.5,2021,10,18,16.206211,7186.41
27.5,77.5,2021,10,18,18.648493,9165.16
27.5,77.5,2021,10,18,19.963795,10364.27
27.5,77.5,2021,10,18,20.641281,11776.37
27.5,77.5,2021,10,18,20.878233,13510.6
27.5,77.5,2021,10,18,15.415293,15799.14
27.5,77.5,2021,10,18,4.985605,17671.37
27.5,77.5,2021,10,18,5.123719,19324.79
27.5,77.5,2021,10,18,2.6557717,21641.08
27.5,77.5,2021,10,18,8.722421,23325.88
27.5,77.5,2021,10,18,15.3483095,25921.43
27.5,77.5,2021,10,19,2.519176,110.9
27.5,77.5,2021,10,19,5.146176,762.08
27.5,77.5,2021,10,19,6.076441,1457.51
